GeneID	log2FC	pvalue	padj	Gene
ENSG00000257167	3.5180	0.000104007	0.000788802	TMPO-AS1
ENSG00000189057	2.8009	1.08E-10	2.66E-09	FAM111B
ENSG00000185760	2.6788	7.13E-42	1.67E-39	KCNQ5
ENSG00000165244	2.6605	5.27E-27	5.46E-25	ZNF367
ENSG00000176771	2.5697	1.33E-22	1.01E-20	NCKAP5
ENSG00000276043	2.5686	2.34E-29	3.01E-27	UHRF1
ENSG00000165495	2.5546	3.04E-35	5.26E-33	PKNOX2
ENSG00000092470	2.5212	1.31E-25	1.21E-23	WDR76
ENSG00000170579	2.4230	1.19E-23	9.71E-22	DLGAP1
ENSG00000118513	2.3912	3.07E-22	2.26E-20	MYB
ENSG00000129682	2.3903	1.46E-07	2.22E-06	FGF13
ENSG00000100479	2.2512	0.001900741	0.009975283	POLE2
ENSG00000166833	2.2054	3.74E-87	7.75E-84	NAV2
ENSG00000164045	2.1963	4.18E-34	7.03E-32	CDC25A
ENSG00000198056	2.1549	5.90E-07	7.97E-06	PRIM1
ENSG00000115339	2.1433	4.37E-12	1.29E-10	GALNT3
ENSG00000277142	2.1404	0.010639966	0.041681856	LINC00235
ENSG00000166689	2.0946	5.21E-05	0.000426186	PLEKHA7
ENSG00000007968	2.0846	1.51E-11	4.11E-10	E2F2
ENSG00000139173	1.9768	5.65E-19	3.27E-17	TMEM117
ENSG00000133424	1.9607	1.38E-45	4.09E-43	LARGE1
ENSG00000152953	1.9547	1.23E-51	5.28E-49	STK32B
ENSG00000143476	1.9532	4.64E-43	1.20E-40	DTL
ENSG00000067798	1.9400	3.27E-05	0.000284889	NAV3
ENSG00000113368	1.9298	1.25E-41	2.89E-39	LMNB1
ENSG00000120658	1.9246	8.47E-08	1.35E-06	ENOX1
ENSG00000166851	1.9241	2.73E-35	4.78E-33	PLK1
ENSG00000260267	1.9130	1.70E-05	0.000159594	ENSG00000260267
ENSG00000140534	1.8598	2.16E-15	9.38E-14	TICRR
ENSG00000196584	1.8497	5.27E-12	1.54E-10	XRCC2
ENSG00000065328	1.8489	1.23E-21	8.57E-20	MCM10
ENSG00000080839	1.8318	1.39E-13	4.99E-12	RBL1
ENSG00000263843	1.8190	0.004962168	0.022321678	MIF4GD-DT
ENSG00000120162	1.8156	2.29E-28	2.68E-26	MOB3B
ENSG00000163739	1.8082	9.73E-05	0.000742891	CXCL1
ENSG00000114541	1.7955	2.03E-09	4.21E-08	FRMD4B
ENSG00000248538	1.7952	1.90E-12	5.94E-11	ENSG00000248538
ENSG00000112984	1.7880	6.94E-14	2.57E-12	KIF20A
ENSG00000175305	1.7874	0.000381946	0.002464025	CCNE2
ENSG00000187098	1.7859	3.45E-172	1.43E-168	MITF
ENSG00000253490	1.7800	1.75E-07	2.62E-06	LINC02099
ENSG00000118007	1.7705	4.44E-27	4.64E-25	STAG1
ENSG00000126787	1.7526	4.28E-09	8.37E-08	DLGAP5
ENSG00000110693	1.7449	8.80E-19	5.02E-17	SOX6
ENSG00000137135	1.7393	0.00027452	0.00185067	ARHGEF39
ENSG00000144354	1.7383	2.47E-35	4.39E-33	CDCA7
ENSG00000121621	1.7135	0.000375608	0.00242818	KIF18A
ENSG00000156970	1.7094	2.46E-14	9.45E-13	BUB1B
ENSG00000142731	1.7061	2.43E-07	3.54E-06	PLK4
ENSG00000236013	1.6885	0.00151435	0.00820361	ENSG00000236013
ENSG00000106236	-1.5121	2.91E-20	1.86E-18	NPTX2
ENSG00000113369	-1.5198	1.96E-13	6.91E-12	ARRDC3
ENSG00000113070	-1.5486	3.35E-08	5.72E-07	HBEGF
ENSG00000109089	-1.5622	1.13E-05	0.000110265	CDR2L
ENSG00000088826	-1.5824	1.88E-11	5.09E-10	SMOX
ENSG00000115194	-1.6481	0.000130565	0.000965274	SLC30A3
ENSG00000113916	-1.7391	2.74E-10	6.48E-09	BCL6
ENSG00000104081	-1.7640	1.12E-05	0.000109314	BMF
ENSG00000008056	-1.7845	0.000270443	0.001828137	SYN1
ENSG00000075618	-1.8028	3.03E-28	3.49E-26	FSCN1
ENSG00000085185	-1.8631	2.87E-09	5.80E-08	BCORL1
ENSG00000115548	-1.8936	7.84E-65	6.50E-62	KDM3A
ENSG00000059804	-1.9974	1.46E-17	7.56E-16	SLC2A3
ENSG00000182580	-2.0078	1.11E-20	7.26E-19	EPHB3
ENSG00000197852	-2.0329	6.75E-42	1.61E-39	INKA2
ENSG00000279965	-2.0385	0.002672475	0.01333878	ENSG00000279965
ENSG00000116741	-2.0511	4.73E-05	0.000390601	RGS2
ENSG00000185338	-2.0876	0.006601158	0.028224544	SOCS1
ENSG00000244242	-2.1024	5.12E-13	1.76E-11	IFITM10
ENSG00000103723	-2.1192	1.32E-06	1.64E-05	AP3B2
